Tumor_Sample_Barcode,n_variants,n_predicted_artifacts,artifact_rate,mean_probability
TCGA-06-2567-01A-01D-1494-08,60,3,0.05,0.051130798
TCGA-12-1088-01A-01W-0611-08,60,3,0.05,0.16809645
TCGA-27-2521-01A-01D-1494-08,61,3,0.04918032786885246,0.10915956
TCGA-06-0124-01A-01D-1490-08,62,3,0.04838709677419355,0.113417886
TCGA-14-0736-01A-01D-2280-08,63,3,0.047619047619047616,0.21785797
TCGA-06-0749-01A-01W-0348-08,66,3,0.045454545454545456,0.15800887
TCGA-06-0939-01A-01D-1353-08,69,3,0.043478260869565216,0.09314167
TCGA-06-1800-01A-01W-0643-08,69,3,0.043478260869565216,0.09690299
TCGA-14-1034-01A-01D-1492-08,75,3,0.04,0.07000424
TCGA-06-2567-01A-01W-0837-08,79,3,0.0379746835443038,0.14230244
TCGA-4W-AA9R-01A-11D-A391-08,79,3,0.0379746835443038,0.12062252
TCGA-12-0692-01A-01W-0348-08,84,3,0.03571428571428571,0.09942939
TCGA-32-2632-01A-01W-0922-08,86,3,0.03488372093023256,0.1558822
TCGA-06-2563-01A-01W-0837-08,87,3,0.034482758620689655,0.08475852
TCGA-76-6660-01A-11D-1845-08,87,3,0.034482758620689655,0.07579433
TCGA-15-1446-01A-01W-0611-08,90,3,0.03333333333333333,0.14387067
TCGA-06-0743-01A-01D-1492-08,94,3,0.031914893617021274,0.06786656
TCGA-12-3644-01A-01W-0922-08,96,3,0.03125,0.08179909
TCGA-14-1043-01B-11D-1845-08,22,2,0.09090909090909091,0.21703447
TCGA-19-5947-01A-11D-1696-08,22,2,0.09090909090909091,0.16352123
TCGA-14-0781-01B-01D-1696-08,25,2,0.08,0.40484074
TCGA-06-2569-01A-01D-1494-08,28,2,0.07142857142857142,0.19143724
TCGA-12-0662-01A-01W-0348-08,30,2,0.06666666666666667,0.11977209
TCGA-27-1832-01A-01D-1494-08,31,2,0.06451612903225806,0.22143432
TCGA-26-6173-01A-11D-1845-08,32,2,0.0625,0.14774905
TCGA-06-0646-01A-01D-1492-08,33,2,0.06060606060606061,0.07083841
TCGA-06-0129-01A-01D-1490-08,35,2,0.05714285714285714,0.23329629
TCGA-06-5418-01A-01D-1486-08,37,2,0.05405405405405406,0.04916818
TCGA-32-1991-01A-01D-1353-08,38,2,0.05263157894736842,0.060586702
TCGA-14-3477-01A-01W-0922-08,39,2,0.05128205128205128,0.26036507
TCGA-76-6282-01A-11D-1696-08,41,2,0.04878048780487805,0.123387486
TCGA-12-0773-01A-01W-0348-08,42,2,0.047619047619047616,0.07983116
TCGA-06-0750-01A-01D-1492-08,43,2,0.046511627906976744,0.16820453
TCGA-06-A6S1-01A-11D-A33T-08,43,2,0.046511627906976744,0.20262113
TCGA-28-5219-01A-01D-1486-08,43,2,0.046511627906976744,0.11510145
TCGA-06-6390-01A-11D-1696-08,44,2,0.045454545454545456,0.22395092
TCGA-06-0152-01A-02W-0323-08,45,2,0.044444444444444446,0.07225587
TCGA-28-1749-01A-01W-0643-08,45,2,0.044444444444444446,0.07024387
TCGA-19-2625-01A-01D-1495-08,47,2,0.0425531914893617,0.1389788
TCGA-12-0826-01A-01W-0424-08,48,2,0.041666666666666664,0.18428762
TCGA-14-1395-01B-11D-1845-08,48,2,0.041666666666666664,0.07071845
TCGA-28-1745-01B-01W-0643-08,48,2,0.041666666666666664,0.25546083
TCGA-76-6280-01A-21D-1845-08,50,2,0.04,0.05480807
TCGA-14-1829-01A-01D-1494-08,51,2,0.0392156862745098,0.08706894
TCGA-27-1833-01A-01W-0643-08,51,2,0.0392156862745098,0.10610651
TCGA-27-2528-01A-01W-0837-08,52,2,0.038461538461538464,0.057628736
TCGA-02-0055-01A-01D-1490-08,53,2,0.03773584905660377,0.10907932
TCGA-06-0211-02A-02D-2280-08,53,2,0.03773584905660377,0.11269471
TCGA-76-4927-01A-01D-1486-08,53,2,0.03773584905660377,0.123687126
TCGA-76-4934-01A-01D-1486-08,54,2,0.037037037037037035,0.10347825
TCGA-14-1825-01A-01D-1494-08,55,2,0.03636363636363636,0.052491866
TCGA-76-6663-01A-11D-1845-08,56,2,0.03571428571428571,0.13104084
TCGA-12-1598-01A-01W-0643-08,57,2,0.03508771929824561,0.10700307
TCGA-27-2521-01A-01W-0837-08,57,2,0.03508771929824561,0.08539854
